Year,Country,Code,Gold,Silver,Bronze,Total,,,,,,,,,,,,
1932,Italy,ITA,21,38,18,77,,,,,,,,,,,,
1932,Canada,CAN,16,14,29,59,,,,,,,,,,,,
1932,Germany,DEU,10,26,21,57,,,,,,,,,,,,
1932,France,FRA,28,8,6,42,,,,,,,,,,,,
1932,Sweden,SWE,14,9,12,35,,,,,,,,,,,,
1932,Great Britain,GBR,9,12,14,35,,,,,,,,,,,,
1932,Hungary,HUN,20,5,10,35,,,,,,,,,,,,
1932,Japan,JPN,10,17,4,31,,,,,,,,,,,,
1932,Poland,POL,3,4,14,21,,,,,,,,,,,,
1932,Netherlands,NED,2,10,1,13,,,,,,,,,,,,
1932,Australia,AUS,3,1,1,5,,,,,,,,,,,,
1932,Spain,ESP,0,0,1,1,,,,,,,,,,,,
1932,China,CHN,0,0,0,0,,,,,,,,,,,,
1936,Germany,DEU,97,73,61,231,,,,,,,,,,,,
1936,United States,USA,53,29,30,112,,,,,,,,,,,,
1936,Italy,ITA,37,34,5,76,,,,,,,,,,,,
1936,Great Britain,GBR,24,17,12,53,,,,,,,,,,,,
1936,Sweden,SWE,9,13,23,45,,,,,,,,,,,,
1936,France,FRA,13,13,19,45,,,,,,,,,,,,
1936,Hungary,HUN,25,1,17,43,,,,,,,,,,,,
1936,Netherlands,NED,9,7,21,37,,,,,,,,,,,,
1936,Canada,CAN,1,25,9,35,,,,,,,,,,,,
1936,Japan,JPN,9,4,10,23,,,,,,,,,,,,
1936,Poland,POL,0,6,6,12,,,,,,,,,,,,
1936,Australia,AUS,0,0,1,1,,,,,,,,,,,,
1936,Spain,ESP,0,0,0,0,,,,,,,,,,,,
1936,China,CHN,0,0,0,0,,,,,,,,,,,,
1948,United States,USA,93,34,41,168,,,,,,,,,,,,
1948,Sweden,SWE,37,18,33,88,,,,,,,,,,,,
1948,France,FRA,28,23,26,77,,,,,,,,,,,,
1948,Italy,ITA,22,32,14,68,,,,,,,,,,,,
1948,Hungary,HUN,15,27,22,64,,,,,,,,,,,,
1948,Great Britain,GBR,7,42,14,63,,,,,,,,,,,,
1948,Netherlands,NED,8,2,32,42,,,,,,,,,,,,
1948,Canada,CAN,13,2,7,22,,,,,,,,,,,,
1948,Australia,AUS,2,9,5,16,,,,,,,,,,,,
1948,Spain,ESP,0,3,0,3,,,,,,,,,,,,
1948,Poland,POL,1,0,1,2,,,,,,,,,,,,
1948,China,CHN,0,0,0,0,,,,,,,,,,,,
1952,United States,USA,87,48,29,164,,,,,,,,,,,,
1952,Hungary,HUN,53,17,34,104,,,,,,,,,,,,
1952,Sweden,SWE,23,24,46,93,,,,,,,,,,,,
1952,Italy,ITA,18,22,16,56,,,,,,,,,,,,
1952,Germany,DEU,8,16,28,52,,,,,,,,,,,,
1952,France,FRA,14,9,18,41,,,,,,,,,,,,
1952,Great Britain,GBR,4,2,26,32,,,,,,,,,,,,
1952,Netherlands,NED,0,21,0,21,,,,,,,,,,,,
1952,Canada,CAN,17,3,1,21,,,,,,,,,,,,
1952,Australia,AUS,7,2,11,20,,,,,,,,,,,,
1952,Japan,JPN,1,9,2,12,,,,,,,,,,,,
1952,Poland,POL,1,2,1,4,,,,,,,,,,,,
1952,Spain,ESP,0,1,0,1,,,,,,,,,,,,
1952,China,CHN,0,0,0,0,,,,,,,,,,,,
1956,United States,USA,63,61,25,149,,,,,,,,,,,,
1956,Australia,AUS,28,13,26,67,,,,,,,,,,,,
1956,Hungary,HUN,30,20,16,66,,,,,,,,,,,,
1956,Italy,ITA,28,17,10,55,,,,,,,,,,,,
1956,Germany,DEU,10,20,24,54,,,,,,,,,,,,
1956,Sweden,SWE,16,18,15,49,,,,,,,,,,,,
1956,Great Britain,GBR,8,16,22,46,,,,,,,,,,,,
1956,Canada,CAN,5,11,23,39,,,,,,,,,,,,
1956,France,FRA,7,13,13,33,,,,,,,,,,,,
1956,Japan,JPN,4,16,5,25,,,,,,,,,,,,
1956,Poland,POL,1,9,10,20,,,,,,,,,,,,
1956,Spain,ESP,0,0,0,0,,,,,,,,,,,,
1956,Netherlands,NED,0,0,0,0,,,,,,,,,,,,
1960,United States,USA,100,27,25,152,,,,,,,,,,,,
1960,Germany,DEU,38,37,23,98,,,,,,,,,,,,
1960,Italy,ITA,36,18,35,89,,,,,,,,,,,,
1960,Hungary,HUN,13,16,37,66,,,,,,,,,,,,
1960,Australia,AUS,11,24,11,46,,,,,,,,,,,,
1960,Poland,POL,4,12,16,32,,,,,,,,,,,,
1960,Japan,JPN,9,10,12,31,,,,,,,,,,,,
1960,Canada,CAN,3,26,1,30,,,,,,,,,,,,
1960,Great Britain,GBR,2,11,15,28,,,,,,,,,,,,
1960,Sweden,SWE,7,4,5,16,,,,,,,,,,,,
1960,France,FRA,1,6,8,15,,,,,,,,,,,,
1960,Spain,ESP,0,0,14,14,,,,,,,,,,,,
1960,Netherlands,NED,0,2,3,5,,,,,,,,,,,,
1964,United States,USA,96,39,42,177,,,,,,,,,,,,
1964,Germany,DEU,34,41,44,119,,,,,,,,,,,,
1964,Japan,JPN,32,5,25,62,,,,,,,,,,,,
1964,Italy,ITA,14,30,17,61,,,,,,,,,,,,
1964,Hungary,HUN,42,7,7,56,,,,,,,,,,,,
1964,Poland,POL,10,13,23,46,,,,,,,,,,,,
1964,Australia,AUS,8,6,30,44,,,,,,,,,,,,
1964,Sweden,SWE,9,25,9,43,,,,,,,,,,,,
1964,France,FRA,4,17,17,38,,,,,,,,,,,,
1964,Netherlands,NED,6,11,16,33,,,,,,,,,,,,
1964,Great Britain,GBR,6,19,5,30,,,,,,,,,,,,
1964,Canada,CAN,6,4,2,12,,,,,,,,,,,,
1964,Spain,ESP,0,0,0,0,,,,,,,,,,,,
1968,United States,USA,100,37,36,173,,,,,,,,,,,,
1968,Hungary,HUN,32,20,29,81,,,,,,,,,,,,
1968,Japan,JPN,16,25,22,63,,,,,,,,,,,,
1968,Germany,DEU,48,45,51,144,,,,,,,,,,,,
1968,Australia,AUS,5,35,11,51,,,,,,,,,,,,
1968,Italy,ITA,13,8,20,41,,,,,,,,,,,,
1968,Poland,POL,5,2,30,37,,,,,,,,,,,,
1968,France,FRA,16,8,12,36,,,,,,,,,,,,
1968,Canada,CAN,4,4,22,30,,,,,,,,,,,,
1968,Sweden,SWE,7,11,7,25,,,,,,,,,,,,
1968,Netherlands,NED,9,10,4,23,,,,,,,,,,,,
1968,Great Britain,GBR,9,5,5,19,,,,,,,,,,,,
1968,Spain,ESP,0,0,0,0,,,,,,,,,,,,
1972,United States,USA,72,77,46,195,,,,,,,,,,,,
1972,Germany,DEU,131,109,155,395,,,,,,,,,,,,
1972,Hungary,HUN,10,46,25,81,,,,,,,,,,,,
1972,Japan,JPN,30,20,9,59,,,,,,,,,,,,
1972,Poland,POL,28,8,11,47,,,,,,,,,,,,
1972,Italy,ITA,12,8,14,34,,,,,,,,,,,,
1972,Great Britain,GBR,8,9,12,29,,,,,,,,,,,,
1972,Sweden,SWE,5,11,10,26,,,,,,,,,,,,
1972,France,FRA,2,6,17,25,,,,,,,,,,,,
1972,Australia,AUS,11,7,2,20,,,,,,,,,,,,
1972,Netherlands,NED,7,4,4,15,,,,,,,,,,,,
1972,Canada,CAN,0,3,9,12,,,,,,,,,,,,
1972,Spain,ESP,1,0,1,2,,,,,,,,,,,,
1976,Germany,DEU,137,89,111,337,,,,,,,,,,,,
1976,United States,USA,73,61,41,175,,,,,,,,,,,,
1976,Poland,POL,18,29,26,73,,,,,,,,,,,,
1976,Hungary,HUN,14,6,35,55,,,,,,,,,,,,
1976,Japan,JPN,25,6,10,41,,,,,,,,,,,,
1976,Italy,ITA,3,27,5,35,,,,,,,,,,,,
1976,Great Britain,GBR,7,15,11,33,,,,,,,,,,,,
1976,Canada,CAN,1,10,15,26,,,,,,,,,,,,
1976,Australia,AUS,0,15,8,23,,,,,,,,,,,,
1976,France,FRA,5,7,9,21,,,,,,,,,,,,
1976,Netherlands,NED,1,4,15,20,,,,,,,,,,,,
1976,Sweden,SWE,9,1,2,12,,,,,,,,,,,,
1976,Spain,ESP,0,6,0,6,,,,,,,,,,,,
1980,Germany,DEU,131,101,79,311,,,,,,,,,,,,
1980,Hungary,HUN,8,15,40,63,,,,,,,,,,,,
1980,Poland,POL,3,25,22,50,,,,,,,,,,,,
1980,Great Britain,GBR,6,18,24,48,,,,,,,,,,,,
1980,Sweden,SWE,6,8,29,43,,,,,,,,,,,,
1980,Italy,ITA,8,24,8,40,,,,,,,,,,,,
1980,United States,USA,24,4,2,30,,,,,,,,,,,,
1980,France,FRA,18,5,7,30,,,,,,,,,,,,
1980,Spain,ESP,2,19,3,24,,,,,,,,,,,,
1980,Australia,AUS,6,2,5,13,,,,,,,,,,,,
1980,Netherlands,NED,1,3,6,10,,,,,,,,,,,,
1980,Canada,CAN,0,1,1,2,,,,,,,,,,,,
1980,Japan,JPN,0,1,0,1,,,,,,,,,,,,
1980,China,CHN,0,0,0,0,,,,,,,,,,,,
1984,United States,USA,190,121,50,361,,,,,,,,,,,,
1984,Germany,DEU,46,89,64,199,,,,,,,,,,,,
1984,Canada,CAN,21,37,33,91,,,,,,,,,,,,
1984,China,CHN,24,13,37,74,,,,,,,,,,,,
1984,Great Britain,GBR,11,20,42,73,,,,,,,,,,,,
1984,France,FRA,20,17,33,70,,,,,,,,,,,,
1984,Italy,ITA,31,6,28,65,,,,,,,,,,,,
1984,Sweden,SWE,10,20,34,64,,,,,,,,,,,,
1984,Australia,AUS,7,14,31,52,,,,,,,,,,,,
1984,Japan,JPN,10,9,31,50,,,,,,,,,,,,
1984,Netherlands,NED,20,7,14,41,,,,,,,,,,,,
1984,Spain,ESP,2,14,3,19,,,,,,,,,,,,
1984,Hungary,HUN,0,0,0,0,,,,,,,,,,,,
1984,Poland,POL,0,0,0,0,,,,,,,,,,,,
1988,United States,USA,89,67,58,214,,,,,,,,,,,,
1988,Germany,DEU,125,113,104,342,,,,,,,,,,,,
1988,Great Britain,GBR,22,17,15,54,,,,,,,,,,,,
1988,China,CHN,6,16,30,52,,,,,,,,,,,,
1988,Netherlands,NED,6,8,38,52,,,,,,,,,,,,
1988,Sweden,SWE,7,5,34,46,,,,,,,,,,,,
1988,Hungary,HUN,20,9,15,44,,,,,,,,,,,,
1988,Italy,ITA,13,11,13,37,,,,,,,,,,,,
1988,Australia,AUS,18,6,11,35,,,,,,,,,,,,
1988,France,FRA,13,4,14,31,,,,,,,,,,,,
1988,Canada,CAN,4,7,18,29,,,,,,,,,,,,
1988,Japan,JPN,4,3,14,21,,,,,,,,,,,,
1988,Poland,POL,2,9,10,21,,,,,,,,,,,,
1988,Spain,ESP,1,2,2,5,,,,,,,,,,,,
1992,United States,USA,94,57,87,238,,,,,,,,,,,,
1992,Germany,DEU,95,74,67,236,,,,,,,,,,,,
1992,China,CHN,18,48,19,85,,,,,,,,,,,,
1992,Canada,CAN,32,33,15,80,,,,,,,,,,,,
1992,Spain,ESP,48,19,3,70,,,,,,,,,,,,
1992,France,FRA,14,11,44,69,,,,,,,,,,,,
1992,Italy,ITA,25,19,22,66,,,,,,,,,,,,
1992,Japan,JPN,6,10,43,59,,,,,,,,,,,,
1992,Australia,AUS,14,27,16,57,,,,,,,,,,,,
1992,Great Britain,GBR,8,3,39,50,,,,,,,,,,,,
1992,Poland,POL,5,22,19,46,,,,,,,,,,,,
1992,Hungary,HUN,14,23,8,45,,,,,,,,,,,,
1992,Sweden,SWE,2,27,13,42,,,,,,,,,,,,
1992,Netherlands,NED,6,21,10,37,,,,,,,,,,,,
1994,Germany,DEU,18,10,12,40,,,,,,,,,,,,
1994,Canada,CAN,3,29,5,37,,,,,,,,,,,,
1994,Russia,RUS,19,13,4,36,,,,,,,,,,,,
1994,Italy,ITA,14,6,12,32,,,,,,,,,,,,
1994,Sweden,SWE,23,1,0,24,,,,,,,,,,,,
1994,United States,USA,6,8,5,19,,,,,,,,,,,,
1994,France,FRA,0,1,10,11,,,,,,,,,,,,
1994,Japan,JPN,3,5,2,10,,,,,,,,,,,,
1994,Australia,AUS,0,0,4,4,,,,,,,,,,,,
1994,Netherlands,NED,0,1,3,4,,,,,,,,,,,,
1994,China,CHN,0,1,2,3,,,,,,,,,,,,
1994,Great Britain,GBR,0,0,3,3,,,,,,,,,,,,
1994,Hungary,HUN,0,0,0,0,,,,,,,,,,,,
1994,Poland,POL,0,0,0,0,,,,,,,,,,,,
1994,Spain,ESP,0,0,0,0,,,,,,,,,,,,
1996,United States,USA,158,48,52,258,,,,,,,,,,,,
1996,Australia,AUS,32,16,84,132,,,,,,,,,,,,
1996,Germany,DEU,42,35,47,124,,,,,,,,,,,,
1996,Russia,RUS,36,45,34,115,,,,,,,,,,,,
1996,China,CHN,19,70,17,106,,,,,,,,,,,,
1996,Netherlands,NED,38,9,26,73,,,,,,,,,,,,
1996,Italy,ITA,19,24,28,71,,,,,,,,,,,,
1996,Spain,ESP,23,21,22,66,,,,,,,,,,,,
1996,France,FRA,21,10,20,51,,,,,,,,,,,,
1996,Canada,CAN,8,30,12,50,,,,,,,,,,,,
1996,Hungary,HUN,8,9,26,43,,,,,,,,,,,,
1996,Japan,JPN,3,26,13,42,,,,,,,,,,,,
1996,Sweden,SWE,3,23,5,31,,,,,,,,,,,,
1996,Great Britain,GBR,2,15,9,26,,,,,,,,,,,,
1996,Poland,POL,7,8,7,22,,,,,,,,,,,,
1998,Russia,RUS,14,32,6,52,,,,,,,,,,,,
1998,Canada,CAN,14,28,7,49,,,,,,,,,,,,
1998,Germany,DEU,22,12,10,44,,,,,,,,,,,,
1998,United States,USA,25,4,5,34,,,,,,,,,,,,
1998,Italy,ITA,3,9,5,17,,,,,,,,,,,,
1998,France,FRA,2,1,12,15,,,,,,,,,,,,
1998,China,CHN,0,9,5,14,,,,,,,,,,,,
1998,Japan,JPN,8,1,4,13,,,,,,,,,,,,
1998,Netherlands,NED,5,4,2,11,,,,,,,,,,,,
1998,Sweden,SWE,0,2,5,7,,,,,,,,,,,,
1998,Great Britain,GBR,0,0,4,4,,,,,,,,,,,,
1998,Australia,AUS,0,0,1,1,,,,,,,,,,,,
1998,Spain,ESP,0,0,0,0,,,,,,,,,,,,
1998,Hungary,HUN,0,0,0,0,,,,,,,,,,,,
1998,Poland,POL,0,0,0,0,,,,,,,,,,,,
2000,United States,USA,130,61,51,242,,,,,,,,,,,,
2000,Russia,RUS,66,67,54,187,,,,,,,,,,,,
2000,Australia,AUS,60,69,54,183,,,,,,,,,,,,
2000,Germany,DEU,31,23,64,118,,,,,,,,,,,,
2000,China,CHN,39,23,17,79,,,,,,,,,,,,
2000,Netherlands,NED,27,29,23,79,,,,,,,,,,,,
2000,France,FRA,22,30,14,66,,,,,,,,,,,,
2000,Italy,ITA,22,14,29,65,,,,,,,,,,,,
2000,Great Britain,GBR,22,20,12,54,,,,,,,,,,,,
2000,Hungary,HUN,25,24,4,53,,,,,,,,,,,,
2000,Japan,JPN,5,31,8,44,,,,,,,,,,,,
2000,Spain,ESP,3,19,20,42,,,,,,,,,,,,
2000,Sweden,SWE,4,20,8,32,,,,,,,,,,,,
2000,Canada,CAN,4,4,23,31,,,,,,,,,,,,
2000,Poland,POL,7,10,7,24,,,,,,,,,,,,
2002,United States,USA,11,58,15,84,,,,,,,,,,,,
2002,Canada,CAN,52,7,15,74,,,,,,,,,,,,
2002,Germany,DEU,26,23,12,61,,,,,,,,,,,,
2002,Russia,RUS,6,5,27,38,,,,,,,,,,,,
2002,Sweden,SWE,0,2,24,26,,,,,,,,,,,,
2002,Italy,ITA,4,11,6,21,,,,,,,,,,,,
2002,China,CHN,2,5,9,16,,,,,,,,,,,,
2002,France,FRA,5,5,5,15,,,,,,,,,,,,
2002,Netherlands,NED,3,5,0,8,,,,,,,,,,,,
2002,Great Britain,GBR,5,0,1,6,,,,,,,,,,,,
2002,Australia,AUS,2,0,0,2,,,,,,,,,,,,
2002,Japan,JPN,0,1,1,2,,,,,,,,,,,,
2002,Poland,POL,0,1,1,2,,,,,,,,,,,,
2002,Spain,ESP,0,0,0,0,,,,,,,,,,,,
2002,Hungary,HUN,0,0,0,0,,,,,,,,,,,,
2004,United States,USA,117,75,71,263,,,,,,,,,,,,
2004,Russia,RUS,48,46,95,189,,,,,,,,,,,,
2004,Australia,AUS,49,77,31,157,,,,,,,,,,,,
2004,Germany,DEU,41,45,63,149,,,,,,,,,,,,
2004,Italy,ITA,24,41,39,104,,,,,,,,,,,,
2004,China,CHN,52,27,15,94,,,,,,,,,,,,
2004,Japan,JPN,21,20,52,93,,,,,,,,,,,,
2004,Netherlands,NED,4,51,22,77,,,,,,,,,,,,
2004,Great Britain,GBR,17,25,15,57,,,,,,,,,,,,
2004,France,FRA,21,10,22,53,,,,,,,,,,,,
2004,Hungary,HUN,24,12,4,40,,,,,,,,,,,,
2004,Spain,ESP,4,17,9,30,,,,,,,,,,,,
2004,Canada,CAN,3,10,4,17,,,,,,,,,,,,
2004,Poland,POL,4,2,6,12,,,,,,,,,,,,
2004,Sweden,SWE,5,5,2,12,,,,,,,,,,,,
2006,Canada,CAN,30,28,11,69,,,,,,,,,,,,
2006,Sweden,SWE,35,21,8,64,,,,,,,,,,,,
2006,Germany,DEU,23,25,6,54,,,,,,,,,,,,
2006,United States,USA,9,11,32,52,,,,,,,,,,,,
2006,Russia,RUS,16,12,13,41,,,,,,,,,,,,
2006,Italy,ITA,11,0,14,25,,,,,,,,,,,,
2006,France,FRA,3,2,10,15,,,,,,,,,,,,
2006,Netherlands,NED,3,2,8,13,,,,,,,,,,,,
2006,China,CHN,2,5,6,13,,,,,,,,,,,,
2006,Australia,AUS,1,0,1,2,,,,,,,,,,,,
2006,Poland,POL,0,1,1,2,,,,,,,,,,,,
2006,Great Britain,GBR,0,1,0,1,,,,,,,,,,,,
2006,Japan,JPN,1,0,0,1,,,,,,,,,,,,
2006,Hungary,HUN,0,0,0,0,,,,,,,,,,,,
2006,Spain,ESP,0,0,0,0,,,,,,,,,,,,
2008,United States,USA,127,109,81,317,,,,,,,,,,,,
2008,China,CHN,74,53,57,184,,,,,,,,,,,,
2008,Australia,AUS,31,42,76,149,,,,,,,,,,,,
2008,Russia,RUS,43,46,57,146,,,,,,,,,,,,
2008,Germany,DEU,42,16,41,99,,,,,,,,,,,,
2008,France,FRA,25,24,28,77,,,,,,,,,,,,
2008,Great Britain,GBR,31,25,21,77,,,,,,,,,,,,
2008,Spain,ESP,7,47,16,70,,,,,,,,,,,,
2008,Netherlands,NED,39,18,4,61,,,,,,,,,,,,
2008,Japan,JPN,23,11,17,51,,,,,,,,,,,,
2008,Italy,ITA,8,14,21,43,,,,,,,,,,,,
2008,Canada,CAN,11,13,11,35,,,,,,,,,,,,
2008,Hungary,HUN,16,8,3,27,,,,,,,,,,,,
2008,Poland,POL,6,13,1,20,,,,,,,,,,,,
2008,Sweden,SWE,0,5,2,7,,,,,,,,,,,,
2010,United States,USA,12,63,22,97,,,,,,,,,,,,
2010,Canada,CAN,67,15,8,90,,,,,,,,,,,,
2010,Germany,DEU,15,24,15,54,,,,,,,,,,,,
2010,Russia,RUS,6,5,14,25,,,,,,,,,,,,
2010,China,CHN,9,3,7,19,,,,,,,,,,,,
2010,Sweden,SWE,11,3,4,18,,,,,,,,,,,,
2010,France,FRA,2,6,6,14,,,,,,,,,,,,
2010,Netherlands,NED,4,1,6,11,,,,,,,,,,,,
2010,Poland,POL,1,3,4,8,,,,,,,,,,,,
2010,Japan,JPN,0,5,2,7,,,,,,,,,,,,
2010,Italy,ITA,1,1,3,5,,,,,,,,,,,,
2010,Australia,AUS,2,1,0,3,,,,,,,,,,,,
2010,Great Britain,GBR,1,0,0,1,,,,,,,,,,,,
2010,Hungary,HUN,0,0,0,0,,,,,,,,,,,,
2010,Spain,ESP,0,0,0,0,,,,,,,,,,,,
2012,United States,USA,145,57,46,248,,,,,,,,,,,,
2012,Russia,RUS,50,39,51,140,,,,,,,,,,,,
2012,Great Britain,GBR,48,30,48,126,,,,,,,,,,,,
2012,China,CHN,56,40,29,125,,,,,,,,,,,,
2012,Australia,AUS,18,37,59,114,,,,,,,,,,,,
2012,Germany,DEU,45,27,22,94,,,,,,,,,,,,
2012,Japan,JPN,7,44,33,84,,,,,,,,,,,,
2012,France,FRA,30,30,22,82,,,,,,,,,,,,
2012,Netherlands,NED,21,29,19,69,,,,,,,,,,,,
2012,Italy,ITA,16,22,29,67,,,,,,,,,,,,
2012,Spain,ESP,5,33,25,63,,,,,,,,,,,,
2012,Canada,CAN,1,21,33,55,,,,,,,,,,,,
2012,Hungary,HUN,12,8,6,26,,,,,,,,,,,,
2012,Sweden,SWE,2,17,3,22,,,,,,,,,,,,
2012,Poland,POL,2,2,8,12,,,,,,,,,,,,
2014,Canada,CAN,59,22,5,86,,,,,,,,,,,,
2014,Russia,RUS,33,22,13,68,,,,,,,,,,,,
2014,United States,USA,10,30,24,64,,,,,,,,,,,,
2014,Sweden,SWE,8,32,11,51,,,,,,,,,,,,
2014,Germany,DEU,15,12,9,36,,,,,,,,,,,,
2014,Netherlands,NED,13,7,9,29,,,,,,,,,,,,
2014,France,FRA,4,4,10,18,,,,,,,,,,,,
2014,Italy,ITA,0,2,12,14,,,,,,,,,,,,
2014,China,CHN,3,4,5,12,,,,,,,,,,,,
2014,Poland,POL,4,4,3,11,,,,,,,,,,,,
2014,Japan,JPN,1,4,6,11,,,,,,,,,,,,
2014,Great Britain,GBR,1,4,5,10,,,,,,,,,,,,
2014,Australia,AUS,0,2,1,3,,,,,,,,,,,,
2014,Spain,ESP,0,0,0,0,,,,,,,,,,,,
2014,Hungary,HUN,0,0,0,0,,,,,,,,,,,,
2016,United States,USA,139,54,71,264,,,,,,,,,,,,
2016,Germany,DEU,49,44,67,160,,,,,,,,,,,,
2016,Great Britain,GBR,64,55,26,145,,,,,,,,,,,,
2016,Russia,RUS,52,29,34,115,,,,,,,,,,,,
2016,China,CHN,46,30,37,113,,,,,,,,,,,,
2016,France,FRA,20,54,21,95,,,,,,,,,,,,
2016,Australia,AUS,23,34,25,81,,,,,,,,,,,,
2016,Italy,ITA,8,40,24,72,,,,,,,,,,,,
2016,Canada,CAN,4,4,61,69,,,,,,,,,,,,
